Restaurant,Latitude,Longitude,Address,PlaceID,URL,AverageExposure,Stars,ZIP,Count,White,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,Attraction,Hotspot
Orso,61.2177182,-149.8962191,"737 W 5th Ave, Anchorage, AK 99501, United States",ChIJ7bXHMYe9yFYR4rlzElC4dYY,/biz/orso-anchorage?osq=Restaurants,0.167706736526504,3.9,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Crush Wine Bistro & Cellar,61.2186852,-149.8959538,"328 G St, Anchorage, AK 99501, United States",ChIJLyGVmSmWyFYR6nWkIPTUEco,/biz/crush-wine-bistro-and-cellar-anchorage-2?osq=Restaurants,0.161199554657313,3.7,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Uncle Joe's Pizzeria Downtown,61.21792,-149.8958727,"428 G St, Anchorage, AK 99501, United States",ChIJU5qpMIe9yFYRvZX3Gmx0cNg,/biz/uncle-joes-pizzeria-downtown-anchorage?osq=Restaurants,0.092299751354976,3.9,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
Pil's Deli,61.2184078,-149.8957439,"404 G St, Anchorage, AK 99501, United States",ChIJrzzkPIe9yFYRmtMC5Id5ikI,/biz/pils-deli-anchorage?osq=Restaurants,0.0476220144421813,4.1,99515,80,15252,68.6,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39,1,4,1,106755,1,0,1
Cajun Corner,61.2193725,-149.8957161,"302 G St, Anchorage, AK 99501, United States",ChIJzRcQ2bW9yFYRQ9Pu_Jr9Gco,/biz/cajun-corner-anchorage?osq=Restaurants,0.167137452949005,4.1,99518,22,6234,58.1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3,0,84045,0,1,1
Great Alaska Pizza Company,61.195471,-149.8950073,"607 W Northern Lights Blvd #2, Anchorage, AK 99503, United States",ChIJe79VMcWXyFYRd7YFPLTbap8,/biz/great-alaska-pizza-company-anchorage-4?osq=Restaurants,0.0750261506372773,3.9,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1
The Marx Bros Cafe,61.2196898,-149.89465,"627 W 3rd Ave, Anchorage, AK 99501, United States",ChIJ9fW-Boe9yFYRrCJkSjmpmf0,/biz/the-marx-bros-cafe-anchorage?osq=Restaurants,0.144705658331782,4.2,99577,32,22970,84,1,425,1.6,0,638,2.3,0,588,2.2,0,175,0.6,0,1801,39,1,3.5,1,111388,1,1,1
Eastern European Store & Deli,61.1885857,-149.8945725,"601 W 36th Ave #12, Anchorage, AK 99503, United States",ChIJoUMhz8OXyFYRVZDrBJ4uTPw,/biz/eastern-european-store-and-deli-anchorage?osq=Restaurants,0.104876038722886,4.6,99518,22,6234,58.1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3,0,84045,0,1,0
Indian House Restaurant,61.1958541,-149.8942105,"555 W Northern Lights Blvd Suite 102, Anchorage, AK 99503, United States",ChIJ4VbdN8WXyFYRkUh77271fcQ,/biz/indian-house-restaurant-indian?osq=Restaurants,0.145284954858665,3.4,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1
Bombay Deluxe Indian Restaurant,61.1958541,-149.8942105,"555 W Northern Lights Blvd Suite 102, Anchorage, AK 99503, United States",ChIJ4VbdN8WXyFYRkUh77271fcQ,/biz/bombay-deluxe-indian-restaurant-anchorage-2?osq=Restaurants,0.046855120627121,3.5,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1
Humpy's Great Alaskan Alehouse,61.216342,-149.894083,"610 W 6th Ave, Anchorage, AK 99501, United States",ChIJ14LWxYC9yFYRkKKOyOoSric,/biz/humpys-great-alaskan-alehouse-anchorage?osq=Restaurants,0.192925018758708,3.6,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1
