Restaurant,Latitude,Longitude,Address,PlaceID,URL,ZIP,AverageExposure,Stars,Count,White,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment ,HUne,Wealth,HWe,Attraction,Hotspot
Banana Blossom,29.9131581,-90.0591263,"500 9th St, Gretna, LA 70053, United States",ChIJCf73SSmnIIYRPLEd2-U0mPA,/biz/banana-blossom-gretna-3?osq=Restaurants,70053,0.0382417675206053,4.6,2,8696,51.8,1,5353,31.9,0,55,0.3,1,247,1.5,0,10,0.1,1,729,27.8,0,7.2,1,39347,0,0,0
Dian Xin,29.9609841,-90.0588832,"1218 Decatur St, New Orleans, LA 70116, United States",ChIJFa5I9EmnIIYRjHdE_uXUMlg,/biz/dian-xin-new-orleans?osq=Restaurants,70116,0.148548415362876,4.6,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
Dian Xin,29.9609841,-90.0588832,"1218 Decatur St, New Orleans, LA 70116, United States",ChIJFa5I9EmnIIYRjHdE_uXUMlg,/biz/dian-xin-new-orleans-9?osq=Restaurants,70116,0.154678253828699,4.3,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
El Gato Negro,29.9608767,-90.0584852,"81 French Market Pl, New Orleans, LA 70116, United States",ChIJFd0XCxemIIYRKE7ltduYe1A,/biz/el-gato-negro-new-orleans?osq=Restaurants,70116,0.034065048016927,5,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
Po-Breaux's,29.9637478,-90.0579431,"608 Frenchmen St, New Orleans, LA 70116, United States",ChIJCSoBbpOnIIYR2ja2GCFXvDQ,/biz/po-breauxs-new-orleans?osq=Restaurants,70116,0.135657707433885,4.1,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
The Marigny Brasserie,29.9644171,-90.0579069,"640 Frenchmen St, New Orleans, LA 70116, United States",ChIJwSSTThimIIYR6UdTKmXtlYg,/biz/the-marigny-brasserie-new-orleans?osq=Restaurants,70116,0.038539121312875,3.5,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
Frenchmen All Day,29.9642833,-90.0578883,"630 Frenchmen St, New Orleans, LA 70116, United States",ChIJVY1EiFqnIIYR25ZLTOhOdrQ,/biz/frenchmen-all-day-new-orleans-2?osq=Restaurants,70116,0.155475815402319,4.2,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
Three Muses,29.9632806,-90.0578583,"536 Frenchmen St, New Orleans, LA 70116, United States",ChIJYbYLMBimIIYR_jUx5ds4Quo,/biz/three-muses-new-orleans?osq=Restaurants,70116,0.177084459443507,4.4,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
Ayu Bakehouse,29.9656621,-90.0577997,"801 Frenchmen St, New Orleans, LA 70117, United States",ChIJcZCKslinIIYRRebPp7wa4Zs,/biz/ayu-bakehouse-new-orleans?osq=Restaurants,70117,0.107270278634981,4.3,25,8498,31,0,17755,64.8,1,55,0.2,0,183,0.7,0,6,0,0,1857,38.4,0,13.5,1,29663,0,0,1
30/90 NOLA,29.9627521,-90.0577798,"520 Frenchmen St, New Orleans, LA 70116, United States",ChIJgSeCJRimIIYRBdOU_x_Vt3E,/biz/30-90-nola-new-orleans?osq=Restaurants,70116,0.179290505818711,4.4,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
Adolfo's,29.9638397,-90.0576903,"611 Frenchmen St, New Orleans, LA 70117, United States",ChIJQ09fNximIIYRIa-hinY7Cww,/biz/adolfos-new-orleans?osq=Restaurants,70116,0.147040202199153,3.6,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
Dat Dog,29.9636056,-90.0576806,"601 Frenchmen St, New Orleans, LA 70116, United States",ChIJcZEGOhimIIYR6vv03wETdUY,/biz/dat-dog-new-orleans-7?osq=Restaurants,70115,0.138205180108419,4.5,20,23892,68.6,1,8927,25.6,0,163,0.5,1,536,1.5,0,17,0,0,4988,73.1,1,5.4,1,77961,1,0,1
Nola Poboys & Bar,29.962952,-90.0575079,"517 Frenchmen St, New Orleans, LA 70116, United States",ChIJXyyaM1enIIYR42bSPRZT19A,/biz/nola-poboys-and-bar-new-orleans?osq=Restaurants,70116,0.147294593205183,4,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
