Name_x,URL,ZIP,Avg. Exposure,Stars,Latitude,Longitude,Address,Place-ID,White,ofWhite,Black,ofBlack,AmericanIndaian,ofAI,Asian,ofAisan,NativeHawiian,ofNativeHawiian,Edu,ofEDU,Unemployment,Wealth,Attractions,Hotspot
Beretta,/biz/beretta-san-francisco-2?osq=Restaurants,94117,0.188695783333333,4.2,37.775804,-122.4382398,"661 Divisadero St, San Francisco, CA 94117, United States",ChIJIRCeTTqBhYARmMp8iZojBT0,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
Firefly Restaurant,/biz/firefly-restaurant-san-francisco-4?osq=Restaurants,94114,0.124037526666667,2.8,37.7511917,-122.4382376,"4288 24th St, San Francisco, CA 94114, United States",ChIJofWUNAx-j4ARnQzSL9SlBq0,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,1
Che Fico Alimentari,/biz/che-fico-alimentari-san-francisco?osq=Restaurants,94117,0.149775174666667,4.1,37.7774334,-122.4380944,"834 Divisadero St, San Francisco, CA 94117, United States",ChIJY9av7ViBhYAR3ejAF435Xz4,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
Zaytoon Mediterranean,/biz/zaytoon-mediterranean-san-francisco-2?osq=Restaurants,94117,0.0171170093333333,4.1,37.775283702292,-122.438064016038,"607 Divisadero St, San Francisco, CA 94117, United States",ChIJG5tfijF5hYAR73gHiNQYbA0,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
Hina Yakitori,/biz/hina-yakitori-san-francisco-2?osq=Restaurants,94117,0.021544048,4.5,37.7771297,-122.4380118,"808 Divisadero St, San Francisco, CA 94117, United States",ChIJXzJrpN6BhYARBOVVvS_qvOw,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
Jaranita,/biz/jaranita-san-francisco-4?osq=Restaurants,94123,0.207841939666667,4.3,37.8002412,-122.4375457,"3340 Steiner St, San Francisco, CA 94123, United States",ChIJS-HTe-2BhYARVU8Kaan5b4s,20187,77.6,242,0.9,59,0.2,2447,9.4,107,0.4,8563,94.6,2.5,194098,1,1
Nopa,/biz/nopa-san-francisco?osq=Restaurants,94117,0.206775295666667,4.2,37.7749009,-122.4375083,"560 Divisadero St, San Francisco, CA 94117, United States",ChIJ_dQjyK-AhYARBc9DFlxcclg,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
Banh Mi Viet,/biz/banh-mi-viet-san-francisco?osq=Restaurants,94117,0.0523571346666667,3.9,37.7744177,-122.4375004,"518 Divisadero St, San Francisco, CA 94117, United States",ChIJRw0ImnGBhYAR_kLyEu_vLX4,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
Ragazza,/biz/ragazza-san-francisco?osq=Restaurants,94117,0.159785096333333,4,37.7724494,-122.4374639,"311 Divisadero St, San Francisco, CA 94117, United States",ChIJeVZDPa-AhYARsGb5B7JsJAY,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,0
Horsefeather,/biz/horsefeather-san-francisco-2?osq=Restaurants,94117,0.218326332666667,3.9,37.7744995,-122.4374566,"528 Divisadero St, San Francisco, CA 94117, United States",ChIJBYNPuq-AhYARkLvNM_mLKhk,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
That's My Jam,/biz/thats-my-jam-san-francisco?osq=Restaurants,94117,0.152423244333333,4.5,37.7726073,-122.4371241,"324 Divisadero St, San Francisco, CA 94117, United States",ChIJZ8JB27yBhYAR3zpeYmfm8Z0,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
The Little Chihuahua,/biz/the-little-chihuahua-san-francisco?osq=Restaurants,94117,0.132786673,3.9,37.7720472,-122.4370344,"292 Divisadero St, San Francisco, CA 94117, United States",ChIJ8y_0Oa-AhYARvwNaeQL0it8,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
Mangrove Kitchen,/biz/mangrove-kitchen-san-francisco?osq=Restaurants,94117,0.162708410666667,4,37.7725083,-122.4370142,"312 Divisadero St, San Francisco, CA 94117, United States",ChIJaRUT4YWBhYARndk9vYXUpW4,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
