Restaurant,Latitude,Longitude,Address,Place-ID,URL,Stars,ZIP,Attractions,Avg. Exposure,White,ofWhite,Black,ofBlack,AmericanIndaian,ofAI,Asian,ofAisan,NativeHawiian,ofNativeHawiian,Edu,ofEDU,Unemployment,Wealth,Hotspot
Nakama,37.7748269,-122.4210277,"41 Franklin St, San Francisco, CA 94102, United States",ChIJpbyOT5aBhYARrZzTrrbVEVg,/biz/nakama-san-jose?osq=Restaurants,4.6,95122,1,0.226980432666667,10569,19.5,834,1.5,598,1.1,18953,35,439,0.8,2147,27.9,7.3,90984,1
Mama Minty,37.7747166,-122.4166601,"1450 Mission St, San Francisco, CA 94103, United States",ChIJk035uZ2AhYARPv7lYnedi60,/biz/mama-minty-san-jose?osq=Restaurants,4.1,95126,1,0.0213254553333333,17713,48.6,1886,5.2,336,0.9,6090,16.7,30,0.1,5602,65.4,4.4,116063,1
Scott's Chowder House,37.439229,-122.1583325,"855 El Camino Real UNIT 309, Palo Alto, CA 94301, United States",ChIJY96xxru7j4ARUddceB-eliI,/biz/scotts-chowder-house-san-jose?osq=Restaurants,3.6,95113,1,0.104054614,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
Ludwigs German Table,37.3913986,-122.0800827,"383 Castro St, Mountain View, CA 94041, United States",ChIJr2AqoJm3j4ARFMnM43xElBQ,/biz/ludwigs-german-table-san-jose?osq=Restaurants,3.1,95112,1,0.146847562,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Ozu Ramen Kitchen,37.3102141,-122.0319612,"1000 S De Anza Blvd, San Jose, CA 95129, United States",ChIJ8fHMEQS1j4AR-wjjcFDAwo8,/biz/ozu-ramen-kitchen-san-jose?osq=Restaurants,3.9,95113,1,0.044998453,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
Katana Ramen,37.3656386,-122.0280726,"411 E El Camino Real, Sunnyvale, CA 94087, United States",ChIJIXcwTWW2j4ARVDz5yTgT9Nw,/biz/katana-ramen-san-jose-2?osq=Restaurants,3.7,95118,0,0.004558166,18184,55.6,476,1.5,132,0.4,7376,22.6,190,0.6,1881,53.8,5,130745,1
Hunan Mifen,37.3611807,-122.0259782,"592 E El Camino Real, Sunnyvale, CA 94087, United States",ChIJdzqA8My3j4ARTItxcnonDfs,/biz/hunan-mifen-san-jose-2?osq=Restaurants,4,95129,0,0.0042189463333333,9599,24.4,1003,2.6,138,0.4,25974,66.1,1,0,3070,73.9,2.8,163245,0
Cap't Loui,37.3253382,-122.0124613,"19700 Vallco Pkwy #150, Cupertino, CA 95014, United States",ChIJN06212-1j4ARmXgKWnhSJQU,/biz/capt-loui-cupertino?osq=Restaurants,3.7,95014,0,0.0805193176666667,14902,24,671,1.1,119,0.2,43005,69.2,215,0.3,5287,82,2.4,198602,0
Shang Cafe,37.3086802,-122.012402,"6154 Bollinger Rd, San Jose, CA 95129, United States",ChIJceiBSg61j4ARPic_HgUjNC4,/biz/shang-cafe-san-jose-3?osq=Restaurants,4,95129,0,0.0042189463333333,9599,24.4,1003,2.6,138,0.4,25974,66.1,1,0,3070,73.9,2.8,163245,1
Dough Zone - Cupertino,37.3253703,-122.0116909,"19600 Vallco Pkwy Suite 130, Cupertino, CA 95014, United States",ChIJxw4ZHzG1j4ARxpDmjdv6Oi4,/biz/dough-zone-cupertino-cupertino?osq=Restaurants,4,95014,0,0.118512819666667,14902,24,671,1.1,119,0.2,43005,69.2,215,0.3,5287,82,2.4,198602,1
Bon Mot,37.32406,-122.0100792,"19429 Stevens Creek Blvd, Cupertino, CA 95014, United States",ChIJf_bpsXe1j4ARDxlMFkjY_n0,/biz/bon-mot-cupertino?osq=Restaurants,4.5,95014,0,0.136610273666667,14902,24,671,1.1,119,0.2,43005,69.2,215,0.3,5287,82,2.4,198602,1
Oren's Hummus,37.3238358,-122.009883,"19419 Stevens Creek Blvd, Cupertino, CA 95014, United States",ChIJGQFJdJ61j4ARIZHyixRmDsU,/biz/orens-hummus-campbell?osq=Restaurants,4,95008,1,0.0042419716666666,27741,56.9,1205,2.5,197,0.4,12187,25,14,0,4550,62.8,3,128476,1
Koi Palace - Cupertino COMING SOON,37.3233207,-122.0093603,"19369 Stevens Creek Blvd #100, Cupertino, CA 95014, United States",ChIJPRCjX4i1j4ARo0hy6xuQHVI,/biz/koi-palace-cupertino-coming-soon-cupertino?osq=Restaurants,4.6,95014,0,0.0045695773333333,14902,24,671,1.1,119,0.2,43005,69.2,215,0.3,5287,82,2.4,198602,0
Eureka! Cupertino,37.3233788,-122.0090854,"19369 Stevens Creek Blvd STE 130, Cupertino, CA 95014, United States",ChIJr3cC3521j4ARcQCNrf1ObhI,/biz/eureka-cupertino-cupertino-2?osq=Restaurants,3.8,95014,0,0.0980260876666667,14902,24,671,1.1,119,0.2,43005,69.2,215,0.3,5287,82,2.4,198602,0
Lazy Dog Restaurant & Bar,37.3233964,-122.0086335,"19359 Stevens Creek Blvd, Cupertino, CA 95014, United States",ChIJAb33GUS0j4ARjGKbpYi5jR4,/biz/lazy-dog-restaurant-and-bar-cupertino?osq=Restaurants,3.9,95014,0,0.152320162,14902,24,671,1.1,119,0.2,43005,69.2,215,0.3,5287,82,2.4,198602,1
Tanto Japanese Restaurant,37.352633,-122.0039537,"1063 E El Camino Real, Sunnyvale, CA 94087, United States",ChIJd9TXHPC1j4ARszU6xMtr_Vs,/biz/tanto-japanese-restaurant-sunnyvale-2?osq=Restaurants,3.8,94087,0,0.0613278663333333,21558,36.1,709,1.2,449,0.8,30768,51.5,2,0,7024,84.3,4.7,178128,1
Slapfish,37.292761369094,-121.995917832544,"5297 Prospect Rd #40, San Jose, CA 95129, United States",ChIJR9T0qiixwoARyyf-TnQSHd4,/biz/slapfish-san-jose?osq=Restaurants,3.6,95129,0,0.0127176913333333,9599,24.4,1003,2.6,138,0.4,25974,66.1,1,0,3070,73.9,2.8,163245,0
Local Chengdu,37.2925717,-121.9953485,"5293 Prospect Rd STE C, San Jose, CA 95129, United States",ChIJz5b2g3S1j4ARYpYFbXqwq0U,/biz/local-chengdu-san-jose?osq=Restaurants,3.6,95129,0,0.108348593,9599,24.4,1003,2.6,138,0.4,25974,66.1,1,0,3070,73.9,2.8,163245,1
La Cueva Mex Grill,37.2914178,-121.994346,"18486 Prospect Rd, Saratoga, CA 95070, United States",ChIJ3Up278C0j4ARkU8YVZQFV8I,/biz/la-cueva-mex-grill-saratoga-2?osq=Restaurants,4.4,95070,0,0.01700584,13275,41.2,28,0.1,125,0.4,16921,52.6,0,0,1616,84.7,3.4,222235,1
Kings Porkfeet,37.3392213,-121.9942871,"3521 Homestead Rd, Santa Clara, CA 95051, United States",ChIJjxlptYm1j4ARdcGBsyAxw1k,/biz/kings-porkfeet-santa-clara?osq=Restaurants,3.6,95051,0,0.008454168,19672,32.5,1004,1.7,268,0.4,31977,52.8,508,0.8,11692,81.9,3.7,160979,0
La Casa Mia,37.3363574,-121.9942367,"3548 Homestead Rd, Santa Clara, CA 95051, United States",ChIJj-KQILe1j4ARHODzE88rGUU,/biz/la-casa-mia-santa-clara?osq=Restaurants,3.9,95051,0,0.140642781333333,19672,32.5,1004,1.7,268,0.4,31977,52.8,508,0.8,11692,81.9,3.7,160979,1
Orenchi Ramen,37.336347,-121.994157,"3540 Homestead Rd, Santa Clara, CA 95051, United States",ChIJX_7Uaoi1j4ARjlLl0tgTL20,/biz/orenchi-ramen-santa-clara-2?osq=Restaurants,3.9,95051,0,0.135875882,19672,32.5,1004,1.7,268,0.4,31977,52.8,508,0.8,11692,81.9,3.7,160979,0
Gaku Yakitori,37.3089323,-121.9939037,"5152 Moorpark Ave #40, San Jose, CA 95129, United States",ChIJWx6oEWC1j4ARGOXRN4H0710,/biz/gaku-yakitori-san-jose?osq=Restaurants,4,95129,0,0.06634654,9599,24.4,1003,2.6,138,0.4,25974,66.1,1,0,3070,73.9,2.8,163245,0
Tabu Shabu - San Jose,37.290451,-121.993072,"1410 El Paseo de Saratoga, San Jose, CA 95130, United States",ChIJoY3ZY1W1j4AR9TW3x6fb-hw,/biz/tabu-shabu-san-jose-san-jose?osq=Restaurants,4.5,95130,0,0.138989944666667,5877,44.7,396,3,3,0,5199,39.5,40,0.3,1336,72.4,2.4,158656,1
Sifu Wong Kitchen,37.3909497,-121.9921677,"1219 Wildwood Ave, Sunnyvale, CA 94089, United States",ChIJ8Qt3_4rJj4AR_I_HWkzFGT0,/biz/sifu-wong-kitchen-sunnyvale-3?osq=Restaurants,3.9,94089,0,0.139231700666667,7737,32.9,347,1.5,34,0.1,10968,46.7,218,0.9,4448,72.2,4.3,136983,0
Himalayan Magic Masala,37.2927115,-121.9887499,"Right next to Starbucks, 1600 Saratoga Ave #203, San Jose, CA 95129, United States",ChIJZRkxQx_Lj4ARAhj5Dr8q6fM,/biz/himalayan-magic-masala-san-jose?osq=Restaurants,4,95129,0,0.0085523396666666,9599,24.4,1003,2.6,138,0.4,25974,66.1,1,0,3070,73.9,2.8,163245,0
Xiaoman Riceburrito %E5%B0%8F%E6%BB%BF%E9%A3%AF%E7%B3%B0,37.35272,-121.98685,"1614 Pomeroy Ave  Santa Clara, CA 95051",-,/biz/xiaoman-riceburrito-%E5%B0%8F%E6%BB%BF%E9%A3%AF%E7%B3%B0-santa-clara-5?osq=Restaurants,4.1,95051,0,0.138796880666667,19672,32.5,1004,1.7,268,0.4,31977,52.8,508,0.8,11692,81.9,3.7,160979,0
Dae Bak,37.3520536,-121.9863702,"3284 El Camino Real, Santa Clara, CA 95051, United States",ChIJt2sFbgzKj4AR6wGcORzYYBs,/biz/dae-bak-santa-clara?osq=Restaurants,4.1,95051,0,0.0129215003333333,19672,32.5,1004,1.7,268,0.4,31977,52.8,508,0.8,11692,81.9,3.7,160979,0
Due Dieci,37.221127,-121.985215,"140 S Santa Cruz Ave, Los Gatos, CA 95030, United States",ChIJq6r6sPs1joARdCz4Xj8HMdI,/biz/due-dieci-los-gatos?osq=Restaurants,4.3,95030,0,0.123198738666667,10649,78.7,33,0.2,143,1.1,2206,16.3,0,0,434,79.6,4.9,215461,1
Polenteria,37.2230985,-121.9841452,"10 Victory Ln, Los Gatos, CA 95030, United States",ChIJ_5pV4kk1joARW2226fWKJsI,/biz/polenteria-los-gatos?osq=Restaurants,4.9,95030,0,0.0042157323333333,10649,78.7,33,0.2,143,1.1,2206,16.3,0,0,434,79.6,4.9,215461,0
Tostadas Prime,37.3894595,-121.9839134,"3149 Mission College Blvd, Santa Clara, CA 95054, United States",ChIJeykvsx3Jj4ARN8YToGK-6VU,/biz/tostadas-prime-santa-clara?osq=Restaurants,3.2,95054,0,0.0483650846666667,5642,23.1,1274,5.2,27,0.1,13968,57.2,17,0.1,4879,77.2,5.5,171799,1
The Pastaria & Market,37.2234356,-121.9836032,"27 N Santa Cruz Ave, Los Gatos, CA 95030, United States",ChIJ8xsVveQ1joARlqXBeAqZcME,/biz/the-pastaria-and-market-los-gatos?osq=Restaurants,4.2,95030,0,0.0343593556666667,10649,78.7,33,0.2,143,1.1,2206,16.3,0,0,434,79.6,4.9,215461,1
Chez Philippe,37.223545,-121.983168,"34 N Santa Cruz Ave, Los Gatos, CA 95030, United States",ChIJwYHJTKY1joARWTbRzpx3D0I,/biz/chez-philippe-los-gatos-2?osq=Restaurants,3.8,95030,0,0.0929200353333333,10649,78.7,33,0.2,143,1.1,2206,16.3,0,0,434,79.6,4.9,215461,0
Terra,37.2247815,-121.98242,"120 N Santa Cruz Ave, Los Gatos, CA 95030, United States",ChIJf189CvA1joARfuVCTcfsH8Y,/biz/terra-santa-clara?osq=Restaurants,3.2,95050,0,0.140324669333333,18946,48.2,1159,3,82,0.2,11878,30.2,428,1.1,5350,66.9,3,107311,1
Forbes Mill Steakhouse,37.2261161,-121.9820709,"206 N Santa Cruz Ave, Los Gatos, CA 95030, United States",ChIJi62xIvA1joARt5PnCh9TVLk,/biz/forbes-mill-steakhouse-los-gatos?osq=Restaurants,4,95030,0,0.0298354986666667,10649,78.7,33,0.2,143,1.1,2206,16.3,0,0,434,79.6,4.9,215461,0
Telef%C3%A8ric Barcelona - Los Gatos,37.22319,-121.98182,"50 University Ave  Ste B270  Los Gatos, CA 95030",-,/biz/telef%C3%A8ric-barcelona-los-gatos-los-gatos-2?osq=Restaurants,4.1,95030,0,0.165272821666667,10649,78.7,33,0.2,143,1.1,2206,16.3,0,0,434,79.6,4.9,215461,0
Seorai,37.3519843,-121.9816609,"3044 El Camino Real, Santa Clara, CA 95051, United States",ChIJy9g-svLLj4ARlMBCdWcxO2Y,/biz/seorai-santa-clara?osq=Restaurants,4.7,95051,0,0.137311168333333,19672,32.5,1004,1.7,268,0.4,31977,52.8,508,0.8,11692,81.9,3.7,160979,0
Sidecar Modern Tavern,37.2214163,-121.9810714,"25 E Main St, Los Gatos, CA 95030, United States",ChIJ6SyHtno1joARXN10ddEyP0A,/biz/sidecar-modern-tavern-los-gatos?osq=Restaurants,4,95030,0,0.123151277333333,10649,78.7,33,0.2,143,1.1,2206,16.3,0,0,434,79.6,4.9,215461,1
Los Gatos Cafe,37.2283345,-121.9810701,"340 N Santa Cruz Ave, Los Gatos, CA 95030, United States",ChIJP1x0Ju41joARJC1IgZC6SaE,/biz/los-gatos-cafe-los-gatos-4?osq=Restaurants,3.4,95030,0,0.068643395,10649,78.7,33,0.2,143,1.1,2206,16.3,0,0,434,79.6,4.9,215461,1
Tasting House,37.2283045,-121.9805521,"368 Village Ln, Los Gatos, CA 95030, United States",ChIJL9jKq-01joARbAvbnjkxq80,/biz/tasting-house-los-gatos?osq=Restaurants,4.5,95030,0,0.141789914,10649,78.7,33,0.2,143,1.1,2206,16.3,0,0,434,79.6,4.9,215461,0
Dan Izakaya Restaurant,37.3003042,-121.9800368,"1306 Saratoga Ave, San Jose, CA 95129, United States",ChIJsbLE36_Kj4ARgp_-rkOUYpg,/biz/dan-izakaya-restaurant-san-jose-2?osq=Restaurants,3.8,95129,0,0.132973976333333,9599,24.4,1003,2.6,138,0.4,25974,66.1,1,0,3070,73.9,2.8,163245,1
Hercules Draft House And Cantina,37.2280678,-121.9798769,"165 Saratoga-Los Gatos Rd, Los Gatos, CA 95030, United States",ChIJN7-2wuI1joAR_8OOyrY9LVA,/biz/hercules-draft-house-and-cantina-los-gatos?osq=Restaurants,4.6,95030,0,0.0303821376666667,10649,78.7,33,0.2,143,1.1,2206,16.3,0,0,434,79.6,4.9,215461,0
Forthright Oyster Bar & Kitchen,37.2855262,-121.9797403,"1700 W Campbell Ave, Campbell, CA 95008, United States",ChIJkw4htE81joARM0tHciWDq8w,/biz/forthright-oyster-bar-and-kitchen-campbell?osq=Restaurants,4.1,95008,1,0.181081303,27741,56.9,1205,2.5,197,0.4,12187,25,14,0,4550,62.8,3,128476,1
Silla Modern Korean,37.3520831,-121.9792529,"2910 El Camino Real, Santa Clara, CA 95051, United States",ChIJGVgpz07Lj4ARjVNOw8WiErY,/biz/silla-modern-korean-santa-clara?osq=Restaurants,4.3,95051,0,0.0298580863333333,19672,32.5,1004,1.7,268,0.4,31977,52.8,508,0.8,11692,81.9,3.7,160979,0
Kunjip,37.3458572,-121.9787835,"1066 Kiely Blvd, Santa Clara, CA 95051, United States",ChIJO79pfG7Kj4ARTnmoiEbJKEk,/biz/kunjip-santa-clara-3?osq=Restaurants,4.4,95051,0,0.12697986,19672,32.5,1004,1.7,268,0.4,31977,52.8,508,0.8,11692,81.9,3.7,160979,0
Hong Kong Banjum Paik's Noodle,37.3513928,-121.9782063,"1520 Kiely Blvd, Santa Clara, CA 95051, United States",ChIJT2NxLBPKj4ARRivowJnL3Wg,/biz/hong-kong-banjum-paiks-noodle-santa-clara?osq=Restaurants,4.1,95051,0,0.127789490666667,19672,32.5,1004,1.7,268,0.4,31977,52.8,508,0.8,11692,81.9,3.7,160979,0
Fugetsu - San Jose,37.3156767,-121.9781519,"4342 Moorpark Ave Ste. 20, San Jose, CA 95129, United States",ChIJ56OWhlvLj4ARpBVDUQvCFRc,/biz/fugetsu-san-jose-san-jose-2?osq=Restaurants,4.6,95129,0,0.11114441,9599,24.4,1003,2.6,138,0.4,25974,66.1,1,0,3070,73.9,2.8,163245,1
ToBang,37.345773,-121.977998,"1052 Kiely Blvd, Santa Clara, CA 95051, United States",ChIJy6tsfm7Kj4ARzJZ2WGCaW4U,/biz/tobang-santa-clara-2?osq=Restaurants,4.1,95051,0,0.0922820603333333,19672,32.5,1004,1.7,268,0.4,31977,52.8,508,0.8,11692,81.9,3.7,160979,1
Udon Mugizo - San Jose,37.3065618,-121.9775703,"1072 Saratoga Ave, San Jose, CA 95129, United States",ChIJe5iRE2XLj4ARi1-93Dj5O-Q,/biz/udon-mugizo-san-jose-san-jose?osq=Restaurants,3.7,95129,0,0.132002465666667,9599,24.4,1003,2.6,138,0.4,25974,66.1,1,0,3070,73.9,2.8,163245,1
HiroNori Craft Ramen,37.3933343,-121.9775162,"4300 Great America Pkwy #180, Santa Clara, CA 95054, United States",ChIJZw6-oKvJj4ARnE5qohg5ILw,/biz/hironori-craft-ramen-santa-clara?osq=Restaurants,4.3,95054,0,0.158590285,5642,23.1,1274,5.2,27,0.1,13968,57.2,17,0.1,4879,77.2,5.5,171799,0
Eureka,37.3819342,-121.9767825,"2762 Augustine Dr Suite 130, Santa Clara, CA 95054, United States",ChIJaZWd-47Jj4ARWZEZOwc6x8Q,/biz/eureka-santa-clara-5?osq=Restaurants,4.7,95054,0,0.182538972666667,5642,23.1,1274,5.2,27,0.1,13968,57.2,17,0.1,4879,77.2,5.5,171799,1
Danawa,37.351122,-121.97666,"2776 El Camino Real, Santa Clara, CA 95051, United States",ChIJC4C6r23Lj4ARxyuqvfEQWvw,/biz/danawa-santa-clara-2?osq=Restaurants,4.2,95051,0,0.129115347,19672,32.5,1004,1.7,268,0.4,31977,52.8,508,0.8,11692,81.9,3.7,160979,0
Kumako Ramen Den,37.3188799,-121.9740943,"487 Saratoga Ave, San Jose, CA 95129, United States",ChIJVQtbCLjLj4ARnYX8Sg-mxaQ,/biz/kumako-ramen-den-san-jose-3?osq=Restaurants,4.4,95129,0,0.214972442666667,9599,24.4,1003,2.6,138,0.4,25974,66.1,1,0,3070,73.9,2.8,163245,0
Kokodek,37.3198094,-121.9738971,"385 Kiely Blvd #20, San Jose, CA 95129, United States",ChIJ0RroqzPLj4ARx8p0aLbkaPY,/biz/kokodek-san-jose-2?osq=Restaurants,3.8,95129,0,0.0830018356666667,9599,24.4,1003,2.6,138,0.4,25974,66.1,1,0,3070,73.9,2.8,163245,0
MoDak Korean Chicken,37.3199073,-121.9732498,"405 Saratoga Ave UNIT 20, San Jose, CA 95129, United States",ChIJna2j1qLLj4AR6_P3XoTYodE,/biz/modak-korean-chicken-san-jose-3?osq=Restaurants,4.3,95129,0,0.128803487,9599,24.4,1003,2.6,138,0.4,25974,66.1,1,0,3070,73.9,2.8,163245,0
Sumiya,37.338848,-121.972908,"2634 Homestead Rd, Santa Clara, CA 95051, United States",ChIJYblqPWC1j4ARyLKXlQgGaJ0,/biz/sumiya-santa-clara?osq=Restaurants,4.2,95051,0,0.184159711,19672,32.5,1004,1.7,268,0.4,31977,52.8,508,0.8,11692,81.9,3.7,160979,1
Sumiya,37.338848,-121.972908,"2634 Homestead Rd, Santa Clara, CA 95051, United States",ChIJYblqPWC1j4ARyLKXlQgGaJ0,/biz/sumiya-santa-clara?osq=Restaurants,4.2,95051,0,0.184159711,19672,32.5,1004,1.7,268,0.4,31977,52.8,508,0.8,11692,81.9,3.7,160979,1
Angry Chickz,37.321476,-121.972068,"375 Saratoga Ave Suite H, San Jose, CA 95129, United States",ChIJY-LuBDrLj4ARbRj7asc80n0,/biz/angry-chickz-san-jose?osq=Restaurants,3.7,95129,0,0.0606225366666667,9599,24.4,1003,2.6,138,0.4,25974,66.1,1,0,3070,73.9,2.8,163245,1
The Angry Hot Chicken,37.321476,-121.972068,"375 Saratoga Ave Suite H, San Jose, CA 95129, United States",ChIJY-LuBDrLj4ARbRj7asc80n0,/biz/the-angry-hot-chicken-san-jose?osq=Restaurants,4.3,95133,1,0.0995505573333333,3951,13.7,864,3,275,1,17185,59.5,221,0.8,3296,65.9,8.5,110484,0
Sorelle Italian Bistro,37.273782,-121.9718836,"915 S San Tomas Aquino Rd, Campbell, CA 95008, United States",ChIJ56AOHms1joARAr6rRn189_E,/biz/sorelle-italian-bistro-campbell?osq=Restaurants,4.5,95008,1,0.127209227,27741,56.9,1205,2.5,197,0.4,12187,25,14,0,4550,62.8,3,128476,0
Demiya,37.321474,-121.9718614,"375 Saratoga Ave G, San Jose, CA 95129, United States",ChIJe8BYHJPKj4ARKCzksHmNcEs,/biz/demiya-san-jose?osq=Restaurants,3.8,95129,0,0.1062671,9599,24.4,1003,2.6,138,0.4,25974,66.1,1,0,3070,73.9,2.8,163245,1
Leichi,37.3296971,-121.9667893,"246 Saratoga Ave, Santa Clara, CA 95050, United States",ChIJZXIcnPPKj4ARtdNo8ZQce2A,/biz/leichi-santa-clara-2?osq=Restaurants,4,95050,0,0.15636197,18946,48.2,1159,3,82,0.2,11878,30.2,428,1.1,5350,66.9,3,107311,0
Pocha K,37.3520436,-121.9663527,"2340 El Camino Real, Santa Clara, CA 95050, United States",ChIJ78EnlyrLj4ARvoq2zexYCUQ,/biz/pocha-k-santa-clara?osq=Restaurants,4.6,95050,0,0.155785615666667,18946,48.2,1159,3,82,0.2,11878,30.2,428,1.1,5350,66.9,3,107311,1
Bloom,37.328383,-121.9662021,"202 Saratoga Ave, Santa Clara, CA 95050, United States",ChIJRY87QdDLj4ARczC3LCvVCnE,/biz/bloom-santa-clara?osq=Restaurants,4.3,95050,0,0.164555965666667,18946,48.2,1159,3,82,0.2,11878,30.2,428,1.1,5350,66.9,3,107311,0
Hash House,37.2945047,-121.9646189,"851 W Hamilton Ave, Campbell, CA 95008, United States",ChIJdXEFdzQ1joARjokp4wQIoLI,/biz/hash-house-campbell?osq=Restaurants,3.8,95008,1,0.0791950016666667,27741,56.9,1205,2.5,197,0.4,12187,25,14,0,4550,62.8,3,128476,1
Tapsilog Bistro,37.2949624,-121.9637421,"819 W Hamilton Ave, Campbell, CA 95008, United States",ChIJZQLbjTM1joARRaFhWYLkpPM,/biz/tapsilog-bistro-campbell?osq=Restaurants,4,95008,1,0.138641914,27741,56.9,1205,2.5,197,0.4,12187,25,14,0,4550,62.8,3,128476,0
Chicken Meets Rice,37.4081023,-121.9634644,"2213 Tasman Dr, Santa Clara, CA 95054, United States",ChIJdUyBWbHJj4ARkm-xNlKLjag,/biz/chicken-meets-rice-santa-clara?osq=Restaurants,4.3,95054,0,0.096521828,5642,23.1,1274,5.2,27,0.1,13968,57.2,17,0.1,4879,77.2,5.5,171799,1
Burma Bistro,37.3529778,-121.9618972,"2135 El Camino Real, Santa Clara, CA 95050, United States",ChIJj4byikbKj4AR28cYrpKVBSk,/biz/burma-bistro-santa-clara?osq=Restaurants,3.8,95050,0,0.0810452213333333,18946,48.2,1159,3,82,0.2,11878,30.2,428,1.1,5350,66.9,3,107311,1
Brew City Grill,37.2947332,-121.9617974,"651 W Hamilton Ave Suite 1070, Campbell, CA 95008, United States",ChIJo8gAiYI1joARCYWTsP9QQk8,/biz/brew-city-grill-campbell-3?osq=Restaurants,4.4,95008,1,0.147481413666667,27741,56.9,1205,2.5,197,0.4,12187,25,14,0,4550,62.8,3,128476,0
Reggae Pot,37.244148,-121.9607555,"15495 Los Gatos Blvd D, Los Gatos, CA 95032, United States",ChIJEYsou7k1joARLnokSMkWLzM,/biz/reggae-pot-los-gatos?osq=Restaurants,4.3,95032,0,0.0256999006666667,19526,71.9,257,0.9,14,0.1,5004,18.4,0,0,1645,73.5,4.7,163082,1
A Slice of New York,37.3235028,-121.9590056,"3443 Stevens Creek Blvd, San Jose, CA 95117, United States",ChIJG11cU-_Kj4AR3fVk1bLWsYQ,/biz/a-slice-of-new-york-san-jose?osq=Restaurants,3.8,95117,0,0.125803718,12897,44.7,2314,8,26,0.1,7702,26.7,59,0.2,3153,53.1,6.5,107972,1
Restaurant Gish,37.3434096,-121.958998,"1998 Homestead Rd #113, Santa Clara, CA 95050, United States",ChIJbZQsqpDLj4ARHS2lJFcGpVw,/biz/restaurant-gish-santa-clara-3?osq=Restaurants,4.5,95050,0,0.133964951666667,18946,48.2,1159,3,82,0.2,11878,30.2,428,1.1,5350,66.9,3,107311,0
Tapsilog Cantina,37.3435412,-121.9589076,"1998 Homestead Rd #113, Santa Clara, CA 95050, United States",ChIJD1XrFPzLj4AR3lYY2zq5PN4,/biz/tapsilog-cantina-santa-clara-3?osq=Restaurants,3.8,95050,0,0.0424559466666667,18946,48.2,1159,3,82,0.2,11878,30.2,428,1.1,5350,66.9,3,107311,0
Athena Grill,37.3764667,-121.9564944,"1505 Space Park Dr, Santa Clara, CA 95054, United States",ChIJH7hSMCjKj4ARGFgaleOZsZc,/biz/athena-grill-santa-clara-2?osq=Restaurants,4.1,95054,0,0.0690155863333333,5642,23.1,1274,5.2,27,0.1,13968,57.2,17,0.1,4879,77.2,5.5,171799,0
Cheezy Noodz,37.3236524450148,-121.954165002313,"3245 Stevens Creek Blvd  San Jose, CA 95117  West San Jose",-,/biz/cheezy-noodz-san-jose?osq=Restaurants,3.6,95117,0,0.00422543,12897,44.7,2314,8,26,0.1,7702,26.7,59,0.2,3153,53.1,6.5,107972,0
The Funny Farm Restaurant,37.3235054,-121.9540769,"3245 Stevens Creek Blvd, San Jose, CA 95117, United States",ChIJEQ1UaJ3Lj4ARkeqWFNgSVFM,/biz/the-funny-farm-restaurant-san-jose-2?osq=Restaurants,4.3,95117,0,0.270583381666667,12897,44.7,2314,8,26,0.1,7702,26.7,59,0.2,3153,53.1,6.5,107972,0
The Funny Farm,37.3235054,-121.9540769,"3245 Stevens Creek Blvd, San Jose, CA 95117, United States",ChIJEQ1UaJ3Lj4ARkeqWFNgSVFM,/biz/the-funny-farm-san-jose-3?osq=Restaurants,3.7,95135,0,0.146903151666667,6700,30.4,503,2.3,94,0.4,12735,57.9,46,0.2,717,66.8,4.5,178977,0
Must be Thai,37.3240027,-121.951719,"3143 Stevens Creek Blvd, San Jose, CA 95117, United States",ChIJxRbrPuHKj4ARCHvgdxv0uiE,/biz/must-be-thai-san-jose-2?osq=Restaurants,4.1,95117,0,0.239650333333333,12897,44.7,2314,8,26,0.1,7702,26.7,59,0.2,3153,53.1,6.5,107972,1
ACHILLES,37.3376149,-121.9507613,"2521 Newhall St, Santa Clara, CA 95050, United States",ChIJ9YVdRIzLj4ARKp3PpZ5qu38,/biz/achilles-santa-clara?osq=Restaurants,3.9,95050,0,0.160234857,18946,48.2,1159,3,82,0.2,11878,30.2,428,1.1,5350,66.9,3,107311,1
Shawowrma Mediterranean Street Food,37.2966865,-121.9504884,"1505 S Winchester Blvd, San Jose, CA 95128, United States",ChIJWdJITno1joARVw2uBoCbHSI,/biz/shawowrma-mediterranean-street-food-san-jose?osq=Restaurants,3.8,95117,0,0.107253598666667,12897,44.7,2314,8,26,0.1,7702,26.7,59,0.2,3153,53.1,6.5,107972,1
Sushi Express,37.2966865,-121.9504884,"1505 S Winchester Blvd, San Jose, CA 95128, United States",ChIJ0cY0Zd81joARj8Ops9I5iiY,/biz/sushi-express-san-jose?osq=Restaurants,3.9,95117,0,0.0759865283333333,12897,44.7,2314,8,26,0.1,7702,26.7,59,0.2,3153,53.1,6.5,107972,1
