Restaurant,Latitude,Longitude,Address_x,PlaceID,URL,ZIP,AverageExposure,Stars,Count,White_x,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,OBJECTID,Attraction,Hotspot
Surfing Crab Cajun Seafood Boil,27.6867333,-97.3826196,"6418 S Staples St #124, Corpus Christi, TX 78413, United States",ChIJj3kF91b1aIYRDELeFJcOq5w,/biz/surfing-crab-cajun-seafood-boil-corpus-christi?osq=Restaurants,78413,0.150861348,4,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,1
KoKo's Crispy Fried Chicken,27.6869391,-97.3825282,"6418 S Staples St #118, Corpus Christi, TX 78413, United States",ChIJwfA9Uv_1aIYRPX89MLgMDHM,/biz/kokos-crispy-fried-chicken-corpus-christi?osq=Restaurants,78413,0.209633668,3.6,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,1
Hu Dat Noodle House,27.6871338,-97.3823864,"6418 S Staples St #102, Corpus Christi, TX 78413, United States",ChIJB7wnILL1aIYRNuB6ARH0V8o,/biz/hu-dat-noodle-house-corpus-christi?osq=Restaurants,78413,0.108096905,2.4,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,1
Bellino Ristorante Italiano and Bottega,27.7434748,-97.3823616,"3815 S Alameda St, Corpus Christi, TX 78411, United States",ChIJw5SWUG5faIYRTo-Qb7m-YaY,/biz/bellino-ristorante-italiano-and-bottega-corpus-christi?osq=Restaurants,78411,0.173110603,3.8,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
Prime Steakhouse & Whiskey Bar,27.6604075,-97.3822095,"6326 Yorktown Blvd Ste 2, Corpus Christi, TX 78414, United States",ChIJ9b6Xz3b1aIYRsC3O7t5cLH8,/biz/prime-steakhouse-and-whiskey-bar-corpus-christi-2?osq=Restaurants,78414,0.23285199,5,51,31039,67.3,0,1076,2.3,0,104,0.2,0,2488,5.4,1,44,0.1,1,2830,38.1,1,2.7,0,87231,1,8,1,0
TANNINS Wine Bar & Tapas Restaurant,27.7432274,-97.3812345,"3855 S Alameda St, Corpus Christi, TX 78411, United States",ChIJS2E3-G5faIYRzfYBm8tKhoQ,/biz/tannins-wine-bar-and-tapas-restaurant-corpus-christi-3?osq=Restaurants,78411,0.178649464,4.3,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
Katz 21 Steak & Spirits,27.6876645,-97.3811909,"5702 Spohn Dr, Corpus Christi, TX 78414, United States",ChIJq3vMkV9eaIYReNckzJd65BI,/biz/katz-21-steak-and-spirits-corpus-christi?osq=Restaurants,78414,0.120482598,3.8,51,31039,67.3,0,1076,2.3,0,104,0.2,0,2488,5.4,1,44,0.1,1,2830,38.1,1,2.7,0,87231,1,8,1,1
C21 Grub & Social,27.6876226,-97.3811097,"5702 Spohn Dr, Corpus Christi, TX 78414, United States",ChIJ1co1RJX1aIYRxVxNUzGyMJ0,/biz/c21-grub-and-social-corpus-christi?osq=Restaurants,78414,0.108108539,5,51,31039,67.3,0,1076,2.3,0,104,0.2,0,2488,5.4,1,44,0.1,1,2830,38.1,1,2.7,0,87231,1,8,1,1
Cafe Italia,27.7261554,-97.3807718,"4117 S Staples St #200, Corpus Christi, TX 78411, United States",ChIJS0k4tIn1aIYRquaFbr-5R-o,/biz/cafe-italia-corpus-christi?osq=Restaurants,78411,0.236559319,4.3,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Nolan's Restaurant,27.7263015,-97.3804233,"4117 S Staples St, Corpus Christi, TX 78411, United States",ChIJo7apAkL1aIYRE1V1EM9zPNI,/biz/nolans-restaurant-corpus-christi-2?osq=Restaurants,78411,0.152788663,3.4,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Yola Cocina Mexicana,27.74460567,-97.38041263,"3818 S Alameda St Ste 036 Corpus Christi, TX 78411",-,/biz/yola-cocina-mexicana-corpus-christi?osq=Restaurants,78411,0.292591756,4.1,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
BJ's Restaurant & Brewhouse,27.7118452,-97.3802042,"5037 S Padre Island Dr, Corpus Christi, TX 78411, United States",ChIJ9WMDFJH1aIYR822QLDv7GvI,/biz/bjs-restaurant-and-brewhouse-corpus-christi?osq=Restaurants,78411,0.130450382,3.4,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
Panda Express,27.7272181,-97.380124,"4119 S Staples St, Corpus Christi, TX 78411, United States",ChIJ2fcGSoj1aIYRmIOpjRDQ9dI,/biz/panda-express-corpus-christi-2?osq=Restaurants,78411,0.093592642,2.5,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Hester's - Lamar Park,27.7440732,-97.3801133,"3812 S Alameda St, Corpus Christi, TX 78411, United States",ChIJu63e9W5faIYREbUocygViq8,/biz/hesters-lamar-park-corpus-christi-2?osq=Restaurants,78411,0.155620977,4.4,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
Pompano's Seafood House,27.7283966,-97.3799154,"4124 S Staples St, Corpus Christi, TX 78411, United States",ChIJu8NHGs9faIYRrunvwtkC0-o,/biz/pompanos-seafood-house-corpus-christi?osq=Restaurants,78411,0.31184847,3.9,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Señor Jaime's Mexican Restaurant & Cantina,27.722611,-97.3798222,"4615 Everhart Rd, Corpus Christi, TX 78411, United States",ChIJwZyvUUL1aIYRhYi-GPts3Kc,/biz/se%C3%B1or-jaimes-mexican-restaurant-and-cantina-corpus-christi-2?osq=Restaurants,78411,0.126803078,3.8,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
BKK thai kitchen + bar,27.7437058,-97.3797751,"3850 S Alameda St UNIT 27, Corpus Christi, TX 78411, United States",ChIJacrOw25faIYR3rpeuSXNt00,/biz/bkk-thai-kitchen-bar-corpus-christi?osq=Restaurants,78411,0.198227009,4.2,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
