Restaurant,Latitude,Longitude,Address,PlaceID,URL,ZIP,AverageExposure,Stars,Count,White,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,Attraction,Hotspot
Am%C3%A9lie,40.7328241,-73.99780725,"22 W 8th St  New York, NY 10011  5th Ave & Mac Dougal St  Greenwich Village",-,/biz/am%C3%A9lie-new-york?osq=Restaurants,10011,0.174559096,4.3,6,38919,75,1,2322,4.5,0,64,0.1,0,4854,9.4,0,0,0,0,10661,92,1,4.5,1,139343,1,1,0
BoCaphe,40.7220405,-73.9975553,"222 Lafayette St, New York, NY 10012, United States",ChIJseS514hZwokRHU43L12LOxw,/biz/bocaph%C3%AA-new-york-3?osq=Restaurants,10012,0.12494876,4.1,28,15836,71.1,1,806,3.6,0,0,0,0,4131,18.6,1,0,0,0,5883,93.9,1,4.7,1,117581,1,1,1
Jack's Wife Freda,40.722174,-73.9974607,"226 Lafayette St, New York, NY 10012, United States",ChIJA4i114hZwokRaqeyrmI80x0,/biz/jacks-wife-freda-new-york?osq=Restaurants,10012,0.32407968,3.9,28,15836,71.1,1,806,3.6,0,0,0,0,4131,18.6,1,0,0,0,5883,93.9,1,4.7,1,117581,1,1,1
Jack's Wife Freda,40.722174,-73.9974607,"226 Lafayette St, New York, NY 10012, United States",ChIJA4i114hZwokRaqeyrmI80x0,/biz/jacks-wife-freda-new-york-2?osq=Restaurants,10014,0.144619456,3.9,17,25507,85.6,1,539,1.8,0,27,0.1,0,1377,4.6,0,0,0,0,8297,97.2,1,7.4,1,136559,1,1,1
Jack's Wife Freda,40.722174,-73.9974607,"226 Lafayette St, New York, NY 10012, United States",ChIJA4i114hZwokRaqeyrmI80x0,/biz/jacks-wife-freda-new-york-5?osq=Restaurants,11249,0.161263868,3.8,15,30914,72.9,1,2452,5.8,0,76,0.2,0,2264,5.3,0,0,0,0,7489,72.7,1,6,1,105222,1,0,1
Paesano of Mulberry Street,40.7185466,-73.9974466,"136 Mulberry St, New York, NY 10013, United States",ChIJ7ZZgM4hZwokRddMfsLPztpM,/biz/paesano-of-mulberry-street-new-york?osq=Restaurants,10013,0.146660873,4.1,23,17204,58.2,1,1000,3.4,0,27,0.1,0,9160,31,1,0,0,0,4039,80.9,1,3.5,0,137572,1,0,1
Gelso & Grand,40.7195839,-73.9973403,"186 Grand St, New York, NY 10013, United States",ChIJS3EpUohZwokReLFKxxE_zKE,/biz/gelso-and-grand-new-york?osq=Restaurants,10013,0.142339157,4.3,23,17204,58.2,1,1000,3.4,0,27,0.1,0,9160,31,1,0,0,0,4039,80.9,1,3.5,0,137572,1,0,1
Gai Kitchen,40.7171726,-73.9972861,"98 Mott St 11 b, New York, NY 10013, United States",ChIJT_0oqlpbwokR6wjYsXzMWL8,/biz/gai-kitchen-new-york?osq=Restaurants,10013,0.075204649,4.8,23,17204,58.2,1,1000,3.4,0,27,0.1,0,9160,31,1,0,0,0,4039,80.9,1,3.5,0,137572,1,0,1
Nyonya,40.7190568,-73.9969181,"199 Grand St, New York, NY 10013, United States",ChIJ0VKRSIhZwokRdCKH7vdxs2o,/biz/nyonya-new-york?osq=Restaurants,10013,0.16675939,3.9,23,17204,58.2,1,1000,3.4,0,27,0.1,0,9160,31,1,0,0,0,4039,80.9,1,3.5,0,137572,1,0,1
Joe's Shanghai,40.7156656,-73.9966988,"46 Bowery, New York, NY 10013, United States",ChIJ2XIY-CZawokRokUjxBSl5hw,/biz/joes-shanghai-new-york-2?osq=Restaurants,10013,0.611455805,3.8,23,17204,58.2,1,1000,3.4,0,27,0.1,0,9160,31,1,0,0,0,4039,80.9,1,3.5,0,137572,1,0,1
Da Long Yi Hot Pot,40.7166314,-73.9965889,"159 Canal St 2nd floor, New York, NY 10013, United States",ChIJeQQqRN5bwokRmEQu2e7srvY,/biz/da-long-yi-hot-pot-new-york-4?osq=Restaurants,10013,0.005102559,4.2,23,17204,58.2,1,1000,3.4,0,27,0.1,0,9160,31,1,0,0,0,4039,80.9,1,3.5,0,137572,1,0,1
Wan Wan,40.7217743,-73.9964439,"209 Mulberry St, New York, NY 10012, United States",ChIJ3bfKuSRZwokRUVDT411SnHM,/biz/wan-wan-new-york-2?osq=Restaurants,10012,0.093027087,4.3,28,15836,71.1,1,806,3.6,0,0,0,0,4131,18.6,1,0,0,0,5883,93.9,1,4.7,1,117581,1,1,1
Lillo Cucina Italiana,40.6901828,-73.9963759,"331 Henry St, Brooklyn, NY 11201, United States",ChIJtzWlCkVawokRCojY8KfHqqI,/biz/lillo-cucina-italiana-brooklyn?osq=Restaurants,11201,0.14313155,4.8,48,42126,61.3,1,8999,13.1,0,394,0.6,1,9532,13.9,0,26,0,0,13971,86.4,1,5.9,1,148282,1,0,0
Mad for Chicken Brooklyn Heights,40.6951826,-73.9962507,"80 Montague St, Brooklyn, NY 11201, United States",ChIJ0e4UaTxbwokRqp1A2PRwlkg,/biz/mad-for-chicken-brooklyn-heights-brooklyn-2?osq=Restaurants,11201,0.157221052,4.8,48,42126,61.3,1,8999,13.1,0,394,0.6,1,9532,13.9,0,26,0,0,13971,86.4,1,5.9,1,148282,1,0,0
Felice Montague,40.695172,-73.9961544,"84 Montague St, Brooklyn, NY 11201, United States",ChIJieXewR5bwokRqDs_MCqYH9U,/biz/felice-montague-brooklyn-2?osq=Restaurants,11201,0.130325992,4.1,48,42126,61.3,1,8999,13.1,0,394,0.6,1,9532,13.9,0,26,0,0,13971,86.4,1,5.9,1,148282,1,0,0
Rubirosa,40.7227383,-73.9961347,"235 Mulberry St, New York, NY 10012, United States",ChIJs8MdNo9ZwokRTPUHiArLC-o,/biz/rubirosa-new-york-2?osq=Restaurants,10012,0.253188908,4.3,28,15836,71.1,1,806,3.6,0,0,0,0,4131,18.6,1,0,0,0,5883,93.9,1,4.7,1,117581,1,1,1
Ugly Baby,40.677962,-73.9961029,"407 Smith St, Brooklyn, NY 11231, United States",ChIJ7RSHClhawokR-m8p8Ny_vR8,/biz/ugly-baby-brooklyn-3?osq=Restaurants,11231,0.071842324,4.1,3,26885,66.7,1,5324,13.2,0,183,0.5,0,2029,5,0,653,1.6,1,5120,77,1,7.9,1,121638,1,0,0
Da Andrea,40.7361918,-73.9958515,"35 W 13th St, New York, NY 10011, United States",ChIJS1uszZRZwokRbKPTzS6hnWM,/biz/da-andrea-new-york?osq=Restaurants,10011,1,4.3,6,38919,75,1,2322,4.5,0,64,0.1,0,4854,9.4,0,0,0,0,10661,92,1,4.5,1,139343,1,1,0
